CountryISO,CountryName,Admin1ISO,Admin1Name,Admin2Name,CityName
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,HENRY COUNTY,KEWANEE
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,JACKSON COUNTY,MURPHYSBORO
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,KANE COUNTY,AURORA
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,KANE COUNTY,ELGIN
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,KANKAKEE COUNTY,KANKAKEE
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,KNOX COUNTY,GALESBURG
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,LASALLE COUNTY,STREATOR
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,LOGAN COUNTY,ELKHART
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,MACON COUNTY,DECATUR
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,MADISON COUNTY,ALTON
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,MADISON COUNTY,GRANITE CITY
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,MARION COUNTY,CENTRALIA
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,MCLEAN COUNTY,BLOOMINGTON
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,MORGAN COUNTY,JACKSONVILLE
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,PEORIA COUNTY,PEORIA
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,RANDOLPH COUNTY,EVANSVILLE
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,ROCK ISLAND COUNTY,MOLINE
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,ROCK ISLAND COUNTY,ROCK ISLAND
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,SANGAMON COUNTY,SPRINGFIELD
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,STEPHENSON COUNTY,FREEPORT
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,TAZEWELL COUNTY,PEKIN
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,VERMILION COUNTY,DANVILLE
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,WARREN COUNTY,MONMOUTH
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,WHITESIDE COUNTY,STERLING
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,WILL COUNTY,JOLIET
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,WILLIAMSON COUNTY,HERRIN
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,WINNEBAGO COUNTY,ROCKFORD
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,WOODFORD COUNTY,ROANOKE
US,UNITED STATES OF AMERICA,US-IN,INDIANA,ALLEN COUNTY,FORT WAYNE
US,UNITED STATES OF AMERICA,US-IN,INDIANA,BARTHOLOMEW COUNTY,COLUMBUS
US,UNITED STATES OF AMERICA,US-IN,INDIANA,CARROLL COUNTY,BURLINGTON
US,UNITED STATES OF AMERICA,US-IN,INDIANA,CASS COUNTY,LOGANSPORT
US,UNITED STATES OF AMERICA,US-IN,INDIANA,CLAY COUNTY,BRAZIL
US,UNITED STATES OF AMERICA,US-IN,INDIANA,CLINTON COUNTY,FRANKFORT
US,UNITED STATES OF AMERICA,US-IN,INDIANA,DELAWARE COUNTY,MUNCIE
US,UNITED STATES OF AMERICA,US-IN,INDIANA,ELKHART COUNTY,ELKHART
US,UNITED STATES OF AMERICA,US-IN,INDIANA,FAYETTE COUNTY,HARRISBURG
US,UNITED STATES OF AMERICA,US-IN,INDIANA,FLOYD COUNTY,NEW ALBANY
US,UNITED STATES OF AMERICA,US-IN,INDIANA,GRANT COUNTY,MARION
US,UNITED STATES OF AMERICA,US-IN,INDIANA,GREENE COUNTY,BLOOMFIELD
US,UNITED STATES OF AMERICA,US-IN,INDIANA,HENRY COUNTY,NEW CASTLE
US,UNITED STATES OF AMERICA,US-IN,INDIANA,HOWARD COUNTY,KOKOMO
